1520435238.403565168 0.24260 -0.03120 0.05587 0.05622 -0.07323 0.09735 0.99096
1520435238.503568172 0.27074 -0.03476 0.05647 0.06619 -0.07044 0.10341 0.98993
1520435238.603571177 0.30282 -0.03885 0.06135 0.06692 -0.07554 0.10063 0.98979
1520435238.703574181 0.33241 -0.04159 0.06999 0.07089 -0.09012 0.09644 0.98871
1520435238.803583145 0.35792 -0.04642 0.07861 0.06507 -0.10026 0.09386 0.98838
1520435238.903586149 0.38047 -0.05461 0.08051 0.06857 -0.10169 0.09118 0.98825
1520435239.003589153 0.40355 -0.06901 0.07657 0.07064 -0.09918 0.10022 0.98749
1520435239.103592157 0.43519 -0.08920 0.07387 0.06238 -0.09162 0.11224 0.98748
1520435239.203595161 0.46868 -0.11884 0.07040 0.05372 -0.09114 0.11928 0.98721
1520435239.303625107 0.50284 -0.15344 0.07408 0.04154 -0.09393 0.12297 0.98708
1520435239.403629065 0.54103 -0.18588 0.08633 0.03711 -0.10431 0.13575 0.98454
1520435239.503632069 0.57673 -0.21227 0.10070 0.02289 -0.09930 0.14608 0.98401
1520435239.603636026 0.61080 -0.23248 0.11490 0.01861 -0.09430 0.15722 0.98287
1520435239.703674316 0.65219 -0.25103 0.12604 0.00954 -0.08716 0.16531 0.98234
1520435239.803677320 0.70189 -0.26833 0.13021 0.00401 -0.07498 0.16636 0.98320
1520435239.903679371 0.74312 -0.27477 0.13623 0.01114 -0.07562 0.16702 0.98299
1520435240.003683329 0.77677 -0.27842 0.13934 0.02051 -0.08170 0.16732 0.98230
1520435240.103704929 0.79891 -0.27848 0.14393 0.02756 -0.09066 0.16858 0.98112
1520435240.203708887 0.81246 -0.27487 0.14711 0.03077 -0.09574 0.17790 0.97890
1520435240.303711891 0.81878 -0.27866 0.14460 0.02566 -0.09252 0.19006 0.97707
1520435240.403714895 0.80154 -0.28909 0.13918 0.03359 -0.08521 0.19944 0.97562
1520435240.503741264 0.75841 -0.30354 0.13312 0.03770 -0.08048 0.20451 0.97482
1520435240.603744268 0.70180 -0.31706 0.12393 0.04245 -0.07359 0.20211 0.97567
1520435240.703747272 0.63657 -0.32647 0.11666 0.04064 -0.06910 0.20501 0.97547
1520435240.803750277 0.56402 -0.33541 0.11062 0.03671 -0.06335 0.21334 0.97423
1520435240.903744221 0.48758 -0.34011 0.10356 0.03671 -0.05079 0.23040 0.97108
1520435241.003748178 0.40794 -0.34346 0.09713 0.03496 -0.04163 0.24144 0.96889
1520435241.103751183 0.32746 -0.34836 0.08964 0.04219 -0.03823 0.24618 0.96755
1520435241.203754187 0.24987 -0.35894 0.08334 0.04806 -0.04218 0.24285 0.96795
1520435241.303731918 0.17562 -0.37791 0.07725 0.04435 -0.04762 0.23545 0.96971
